chr,maxVariants,minPosterior,minReads,time,precision,recall,f1
20,8.0,13.0,2.0,11.33915,0.5789270000000001,0.757494,0.656281
20,8.0,15.0,2.0,11.314766666666666,0.5789270000000001,0.757494,0.656281
20,8.0,17.0,2.0,11.591933333333333,0.5789270000000001,0.757494,0.656281
20,8.0,19.0,2.0,11.348033333333332,0.5789270000000001,0.757494,0.656281
20,8.0,3.0,2.0,11.309383333333333,0.553396,0.766861,0.642871
20,8.0,5.0,2.0,11.530166666666666,0.578465,0.757598,0.6560229999999999
20,8.0,7.0,2.0,11.337716666666667,0.578657,0.757494,0.656107
20,8.0,9.0,2.0,11.333049999999998,0.578657,0.757494,0.656107
20,8.0,5.0,1.0,19.311216666666667,0.55394,0.748855,0.636817
20,8.0,5.0,10.0,6.7642500000000005,0.623292,0.7683180000000001,0.688248
20,8.0,5.0,2.0,14.019366666666667,0.578465,0.757598,0.6560229999999999
20,8.0,5.0,3.0,12.466183333333333,0.594522,0.760616,0.6673899999999999
20,8.0,5.0,4.0,8.730683333333333,0.602812,0.762594,0.673354
20,8.0,5.0,5.0,8.298683333333333,0.608762,0.764467,0.677787
20,8.0,5.0,6.0,7.6619166666666665,0.613451,0.765612,0.681137
20,8.0,5.0,7.0,7.309866666666666,0.6168710000000001,0.7663409999999999,0.68353
20,8.0,5.0,8.0,7.002016666666666,0.61961,0.766965,0.685458
20,8.0,5.0,9.0,6.905083333333334,0.621743,0.767798,0.687094
20,10.0,5.0,2.0,11.573083333333333,0.578808,0.7567649999999999,0.655931
20,12.0,5.0,2.0,11.845766666666666,0.580178,0.757286,0.6570050000000001
20,14.0,5.0,2.0,11.679183333333333,0.581277,0.757182,0.65767
20,16.0,5.0,2.0,11.229199999999999,0.581868,0.757182,0.658048
20,18.0,5.0,2.0,11.165966666666666,0.582141,0.757182,0.658223
20,2.0,5.0,2.0,2.7782833333333334,0.579864,0.754892,0.6559020000000001
20,20.0,5.0,2.0,11.127333333333333,0.58205,0.757182,0.658165
20,4.0,5.0,2.0,4.90675,0.5772970000000001,0.7566609999999999,0.65492
20,6.0,5.0,2.0,9.258066666666668,0.577338,0.756869,0.655025
20,8.0,5.0,2.0,11.330683333333333,0.578465,0.757598,0.6560229999999999
20,8.0,1.0,2.0,11.349866666666665,0.551333,0.779975,0.6460199999999999
20,8.0,11.0,2.0,11.328366666666666,0.578882,0.757494,0.6562520000000001
20,8.0,13.0,2.0,11.351966666666668,0.5789270000000001,0.757494,0.656281
20,8.0,15.0,2.0,11.356733333333333,0.5789270000000001,0.757494,0.656281
20,8.0,17.0,2.0,12.022983333333334,0.5789270000000001,0.757494,0.656281
20,8.0,19.0,2.0,11.983049999999999,0.5789270000000001,0.757494,0.656281
20,8.0,3.0,2.0,12.861933333333333,0.553396,0.766861,0.642871
20,8.0,5.0,2.0,12.8604,0.578465,0.757598,0.6560229999999999
20,8.0,7.0,2.0,11.370583333333334,0.578657,0.757494,0.656107
20,8.0,9.0,2.0,11.340066666666667,0.578657,0.757494,0.656107
20,8.0,5.0,1.0,16.5732,0.55394,0.748855,0.636817
20,8.0,5.0,10.0,6.6903999999999995,0.623292,0.7683180000000001,0.688248
20,8.0,5.0,2.0,11.529716666666667,0.578465,0.757598,0.6560229999999999
20,8.0,5.0,3.0,11.495733333333334,0.594522,0.760616,0.6673899999999999
20,8.0,5.0,4.0,10.175366666666667,0.602812,0.762594,0.673354
20,8.0,5.0,5.0,9.344783333333334,0.608762,0.764467,0.677787
20,8.0,5.0,6.0,8.788649999999999,0.613451,0.765612,0.681137
20,8.0,5.0,7.0,7.369833333333333,0.6168710000000001,0.7663409999999999,0.68353
20,8.0,5.0,8.0,7.136233333333333,0.61961,0.766965,0.685458
20,8.0,5.0,9.0,6.937200000000001,0.621743,0.767798,0.687094
